GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Data_Period_Business_Key	Published_Value	Published_UOM	Estimated_Real_Value	Estimation_Qualifier	Unit_of_Measure_Code	Default_Scale	Data_Period_Type	Data_Period_Name	Data_Period_Begin_Datetime	Calculation_Type	Measure_Hierarchy_Level	GeoFIPS_Type	County_FIPS	County_Name	PZ_Name	WDB_Name	State_FIPS	State_Name	Region_FIPS	Region_Name	Nation_FIPS	Nation_Name
" ""37021"""	Buncombe, NC	BEA_CA5N_0020	Population (persons) 2/	2001	209104	UNIT	209104			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37021"""	Buncombe, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	00000	USA
" ""37023"""	Burke, NC	BEA_CA5N_0020	Population (persons) 2/	2001	89525	UNIT	89525			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37023"""	Burke, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37025"""	Cabarrus, NC	BEA_CA5N_0020	Population (persons) 2/	2001	136463	UNIT	136463			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37025"""	Cabarrus, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	00000	USA
" ""37027"""	Caldwell, NC	BEA_CA5N_0020	Population (persons) 2/	2001	78375	UNIT	78375			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37027"""	Caldwell, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37029"""	Camden, NC	BEA_CA5N_0020	Population (persons) 2/	2001	7100	UNIT	7100			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37029"""	Camden, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37031"""	Carteret, NC	BEA_CA5N_0020	Population (persons) 2/	2001	59790	UNIT	59790			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37031"""	Carteret, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37033"""	Caswell, NC	BEA_CA5N_0020	Population (persons) 2/	2001	23610	UNIT	23610			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37033"""	Caswell, NC	Piedmont-Triad	Kerr-Tar	37000	North Carolina	95000	Southeast	00000	USA
" ""37035"""	Catawba, NC	BEA_CA5N_0020	Population (persons) 2/	2001	144865	UNIT	144865			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37035"""	Catawba, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37037"""	Chatham, NC	BEA_CA5N_0020	Population (persons) 2/	2001	51482	UNIT	51482			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37037"""	Chatham, NC	North Central	Triangle South	37000	North Carolina	95000	Southeast	00000	USA
" ""37039"""	Cherokee, NC	BEA_CA5N_0020	Population (persons) 2/	2001	24629	UNIT	24629			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37039"""	Cherokee, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	00000	USA
" ""37041"""	Chowan, NC	BEA_CA5N_0020	Population (persons) 2/	2001	14490	UNIT	14490			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37041"""	Chowan, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37043"""	Clay, NC	BEA_CA5N_0020	Population (persons) 2/	2001	9086	UNIT	9086			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37043"""	Clay, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	00000	USA
" ""37045"""	Cleveland, NC	BEA_CA5N_0020	Population (persons) 2/	2001	96861	UNIT	96861			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37045"""	Cleveland, NC	Southwest	Region C	37000	North Carolina	95000	Southeast	00000	USA
" ""37047"""	Columbus, NC	BEA_CA5N_0020	Population (persons) 2/	2001	54806	UNIT	54806			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37047"""	Columbus, NC	South Central	Cape Fear	37000	North Carolina	95000	Southeast	00000	USA
" ""37049"""	Craven, NC	BEA_CA5N_0020	Population (persons) 2/	2001	93325	UNIT	93325			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37049"""	Craven, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37051"""	Cumberland, NC	BEA_CA5N_0020	Population (persons) 2/	2001	304316	UNIT	304316			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37051"""	Cumberland, NC	South Central	Cumberland County	37000	North Carolina	95000	Southeast	00000	USA
" ""37053"""	Currituck, NC	BEA_CA5N_0020	Population (persons) 2/	2001	18714	UNIT	18714			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37053"""	Currituck, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37055"""	Dare, NC	BEA_CA5N_0020	Population (persons) 2/	2001	30826	UNIT	30826			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37055"""	Dare, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37057"""	Davidson, NC	BEA_CA5N_0020	Population (persons) 2/	2001	149663	UNIT	149663			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37057"""	Davidson, NC	Piedmont-Triad	DavidsonWorks, Inc.	37000	North Carolina	95000	Southeast	00000	USA
" ""37059"""	Davie, NC	BEA_CA5N_0020	Population (persons) 2/	2001	35905	UNIT	35905			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37059"""	Davie, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37061"""	Duplin, NC	BEA_CA5N_0020	Population (persons) 2/	2001	50182	UNIT	50182			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37061"""	Duplin, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37063"""	Durham, NC	BEA_CA5N_0020	Population (persons) 2/	2001	228978	UNIT	228978			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37063"""	Durham, NC	North Central	Durham	37000	North Carolina	95000	Southeast	00000	USA
" ""37065"""	Edgecombe, NC	BEA_CA5N_0020	Population (persons) 2/	2001	55792	UNIT	55792			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37065"""	Edgecombe, NC	North Central	Turning Point	37000	North Carolina	95000	Southeast	00000	USA
" ""37067"""	Forsyth, NC	BEA_CA5N_0020	Population (persons) 2/	2001	310807	UNIT	310807			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37067"""	Forsyth, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37069"""	Franklin, NC	BEA_CA5N_0020	Population (persons) 2/	2001	48794	UNIT	48794			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37069"""	Franklin, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	00000	USA
" ""37071"""	Gaston, NC	BEA_CA5N_0020	Population (persons) 2/	2001	191424	UNIT	191424			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37071"""	Gaston, NC	Southwest	Gaston County	37000	North Carolina	95000	Southeast	00000	USA
" ""37073"""	Gates, NC	BEA_CA5N_0020	Population (persons) 2/	2001	10546	UNIT	10546			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37073"""	Gates, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37075"""	Graham, NC	BEA_CA5N_0020	Population (persons) 2/	2001	8054	UNIT	8054			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37075"""	Graham, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	00000	USA
" ""37077"""	Granville, NC	BEA_CA5N_0020	Population (persons) 2/	2001	50137	UNIT	50137			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37077"""	Granville, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	00000	USA
" ""37079"""	Greene, NC	BEA_CA5N_0020	Population (persons) 2/	2001	19241	UNIT	19241			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37079"""	Greene, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37081"""	Guilford, NC	BEA_CA5N_0020	Population (persons) 2/	2001	428381	UNIT	428381			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37081"""	Guilford, NC	Piedmont-Triad	Greensboro/High Point/Guilford	37000	North Carolina	95000	Southeast	00000	USA
" ""37083"""	Halifax, NC	BEA_CA5N_0020	Population (persons) 2/	2001	56788	UNIT	56788			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37083"""	Halifax, NC	Northeast	Turning Point	37000	North Carolina	95000	Southeast	00000	USA
" ""37085"""	Harnett, NC	BEA_CA5N_0020	Population (persons) 2/	2001	93168	UNIT	93168			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37085"""	Harnett, NC	North Central	Triangle South	37000	North Carolina	95000	Southeast	00000	USA
" ""37087"""	Haywood, NC	BEA_CA5N_0020	Population (persons) 2/	2001	54802	UNIT	54802			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37087"""	Haywood, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	00000	USA
" ""37089"""	Henderson, NC	BEA_CA5N_0020	Population (persons) 2/	2001	91150	UNIT	91150			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37089"""	Henderson, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	00000	USA
" ""37091"""	Hertford, NC	BEA_CA5N_0020	Population (persons) 2/	2001	22812	UNIT	22812			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37091"""	Hertford, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	00000	USA
" ""37093"""	Hoke, NC	BEA_CA5N_0020	Population (persons) 2/	2001	34722	UNIT	34722			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37093"""	Hoke, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	00000	USA
" ""37095"""	Hyde, NC	BEA_CA5N_0020	Population (persons) 2/	2001	5735	UNIT	5735			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37095"""	Hyde, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37097"""	Iredell, NC	BEA_CA5N_0020	Population (persons) 2/	2001	127136	UNIT	127136			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37097"""	Iredell, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	00000	USA
" ""37099"""	Jackson, NC	BEA_CA5N_0020	Population (persons) 2/	2001	33885	UNIT	33885			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37099"""	Jackson, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	00000	USA
" ""37101"""	Johnston, NC	BEA_CA5N_0020	Population (persons) 2/	2001	127487	UNIT	127487			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37101"""	Johnston, NC	North Central		37000	North Carolina	95000	Southeast	00000	USA
" ""37103"""	Jones, NC	BEA_CA5N_0020	Population (persons) 2/	2001	10215	UNIT	10215			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37103"""	Jones, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37105"""	Lee, NC	BEA_CA5N_0020	Population (persons) 2/	2001	49853	UNIT	49853			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37105"""	Lee, NC	North Central	Triangle South	37000	North Carolina	95000	Southeast	00000	USA
" ""37107"""	Lenoir, NC	BEA_CA5N_0020	Population (persons) 2/	2001	59421	UNIT	59421			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37107"""	Lenoir, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37109"""	Lincoln, NC	BEA_CA5N_0020	Population (persons) 2/	2001	65352	UNIT	65352			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37109"""	Lincoln, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	00000	USA
" ""37111"""	McDowell, NC	BEA_CA5N_0020	Population (persons) 2/	2001	42796	UNIT	42796			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37111"""	McDowell, NC	Northwest	Region C	37000	North Carolina	95000	Southeast	00000	USA
" ""37113"""	Macon, NC	BEA_CA5N_0020	Population (persons) 2/	2001	30415	UNIT	30415			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37113"""	Macon, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	00000	USA
" ""37115"""	Madison, NC	BEA_CA5N_0020	Population (persons) 2/	2001	19848	UNIT	19848			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37115"""	Madison, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	00000	USA
" ""37117"""	Martin, NC	BEA_CA5N_0020	Population (persons) 2/	2001	25211	UNIT	25211			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37117"""	Martin, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	00000	USA
" ""37119"""	Mecklenburg, NC	BEA_CA5N_0020	Population (persons) 2/	2001	720171	UNIT	720171			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37119"""	Mecklenburg, NC	Southwest		37000	North Carolina	95000	Southeast	00000	USA
" ""37121"""	Mitchell, NC	BEA_CA5N_0020	Population (persons) 2/	2001	15860	UNIT	15860			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37121"""	Mitchell, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	00000	USA
" ""37123"""	Montgomery, NC	BEA_CA5N_0020	Population (persons) 2/	2001	26952	UNIT	26952			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37123"""	Montgomery, NC	South Central	Regional Partnership	37000	North Carolina	95000	Southeast	00000	USA
" ""37125"""	Moore, NC	BEA_CA5N_0020	Population (persons) 2/	2001	76259	UNIT	76259			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37125"""	Moore, NC	South Central	Regional Partnership	37000	North Carolina	95000	Southeast	00000	USA
" ""37127"""	Nash, NC	BEA_CA5N_0020	Population (persons) 2/	2001	88242	UNIT	88242			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37127"""	Nash, NC	North Central	Turning Point	37000	North Carolina	95000	Southeast	00000	USA
" ""37129"""	New Hanover, NC	BEA_CA5N_0020	Population (persons) 2/	2001	164386	UNIT	164386			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37129"""	New Hanover, NC	Southeast	Cape Fear	37000	North Carolina	95000	Southeast	00000	USA
" ""37131"""	Northampton, NC	BEA_CA5N_0020	Population (persons) 2/	2001	22063	UNIT	22063			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37131"""	Northampton, NC	Northeast	Turning Point	37000	North Carolina	95000	Southeast	00000	USA
" ""37133"""	Onslow, NC	BEA_CA5N_0020	Population (persons) 2/	2001	151068	UNIT	151068			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37133"""	Onslow, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37135"""	Orange, NC	BEA_CA5N_0020	Population (persons) 2/	2001	118684	UNIT	118684			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37135"""	Orange, NC	North Central	Regional Partnership	37000	North Carolina	95000	Southeast	00000	USA
" ""37137"""	Pamlico, NC	BEA_CA5N_0020	Population (persons) 2/	2001	12848	UNIT	12848			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37137"""	Pamlico, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37139"""	Pasquotank, NC	BEA_CA5N_0020	Population (persons) 2/	2001	34787	UNIT	34787			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37139"""	Pasquotank, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37141"""	Pender, NC	BEA_CA5N_0020	Population (persons) 2/	2001	41610	UNIT	41610			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37141"""	Pender, NC	Southeast	Cape Fear	37000	North Carolina	95000	Southeast	00000	USA
" ""37143"""	Perquimans, NC	BEA_CA5N_0020	Population (persons) 2/	2001	11533	UNIT	11533			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37143"""	Perquimans, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37145"""	Person, NC	BEA_CA5N_0020	Population (persons) 2/	2001	36085	UNIT	36085			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37145"""	Person, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	00000	USA
" ""37147"""	Pitt, NC	BEA_CA5N_0020	Population (persons) 2/	2001	136605	UNIT	136605			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37147"""	Pitt, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	00000	USA
" ""37149"""	Polk, NC	BEA_CA5N_0020	Population (persons) 2/	2001	18683	UNIT	18683			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37149"""	Polk, NC	Western	Region C	37000	North Carolina	95000	Southeast	00000	USA
" ""37151"""	Randolph, NC	BEA_CA5N_0020	Population (persons) 2/	2001	132092	UNIT	132092			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37151"""	Randolph, NC	Piedmont-Triad	Regional Partnership	37000	North Carolina	95000	Southeast	00000	USA
" ""37153"""	Richmond, NC	BEA_CA5N_0020	Population (persons) 2/	2001	46480	UNIT	46480			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37153"""	Richmond, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	00000	USA
" ""37155"""	Robeson, NC	BEA_CA5N_0020	Population (persons) 2/	2001	123913	UNIT	123913			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37155"""	Robeson, NC			37000	North Carolina	95000	Southeast	00000	USA
" ""37157"""	Rockingham, NC	BEA_CA5N_0020	Population (persons) 2/	2001	92268	UNIT	92268			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37157"""	Rockingham, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37159"""	Rowan, NC	BEA_CA5N_0020	Population (persons) 2/	2001	131852	UNIT	131852			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37159"""	Rowan, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	00000	USA
" ""37161"""	Rutherford, NC	BEA_CA5N_0020	Population (persons) 2/	2001	63671	UNIT	63671			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37161"""	Rutherford, NC	Western	Region C	37000	North Carolina	95000	Southeast	00000	USA
" ""37163"""	Sampson, NC	BEA_CA5N_0020	Population (persons) 2/	2001	60526	UNIT	60526			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37163"""	Sampson, NC	South Central	Triangle South	37000	North Carolina	95000	Southeast	00000	USA
" ""37165"""	Scotland, NC	BEA_CA5N_0020	Population (persons) 2/	2001	35851	UNIT	35851			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37165"""	Scotland, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	00000	USA
" ""37167"""	Stanly, NC	BEA_CA5N_0020	Population (persons) 2/	2001	58674	UNIT	58674			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37167"""	Stanly, NC	Southwest		37000	North Carolina	95000	Southeast	00000	USA
" ""37169"""	Stokes, NC	BEA_CA5N_0020	Population (persons) 2/	2001	44974	UNIT	44974			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37169"""	Stokes, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37171"""	Surry, NC	BEA_CA5N_0020	Population (persons) 2/	2001	71782	UNIT	71782			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37171"""	Surry, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	00000	USA
" ""37173"""	Swain, NC	BEA_CA5N_0020	Population (persons) 2/	2001	13030	UNIT	13030			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37173"""	Swain, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	00000	USA
" ""37175"""	Transylvania, NC	BEA_CA5N_0020	Population (persons) 2/	2001	29619	UNIT	29619			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37175"""	Transylvania, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	00000	USA
" ""37177"""	Tyrrell, NC	BEA_CA5N_0020	Population (persons) 2/	2001	4166	UNIT	4166			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37177"""	Tyrrell, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37179"""	Union, NC	BEA_CA5N_0020	Population (persons) 2/	2001	131661	UNIT	131661			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37179"""	Union, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	00000	USA
" ""37181"""	Vance, NC	BEA_CA5N_0020	Population (persons) 2/	2001	43932	UNIT	43932			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37181"""	Vance, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	00000	USA
" ""37183"""	Wake, NC	BEA_CA5N_0020	Population (persons) 2/	2001	656819	UNIT	656819			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37183"""	Wake, NC	North Central	Capital Area	37000	North Carolina	95000	Southeast	00000	USA
" ""37185"""	Warren, NC	BEA_CA5N_0020	Population (persons) 2/	2001	20067	UNIT	20067			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37185"""	Warren, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	00000	USA
" ""37187"""	Washington, NC	BEA_CA5N_0020	Population (persons) 2/	2001	13589	UNIT	13589			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37187"""	Washington, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	00000	USA
" ""37189"""	Watauga, NC	BEA_CA5N_0020	Population (persons) 2/	2001	43853	UNIT	43853			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37189"""	Watauga, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	00000	USA
" ""37191"""	Wayne, NC	BEA_CA5N_0020	Population (persons) 2/	2001	113934	UNIT	113934			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37191"""	Wayne, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	00000	USA
" ""37193"""	Wilkes, NC	BEA_CA5N_0020	Population (persons) 2/	2001	66694	UNIT	66694			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37193"""	Wilkes, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	00000	USA
" ""37195"""	Wilson, NC	BEA_CA5N_0020	Population (persons) 2/	2001	74232	UNIT	74232			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37195"""	Wilson, NC	North Central	Turning Point	37000	North Carolina	95000	Southeast	00000	USA
