	date	county	state	GeoArea_FIPS	cases	deaths
4909	2020-03-19	Iredell	North Carolina	37097	2	0
4910	2020-03-19	Johnston	North Carolina	37101	2	0
4911	2020-03-19	Lincoln	North Carolina	37109	1	0
4912	2020-03-19	Mecklenburg	North Carolina	37119	13	0
4913	2020-03-19	Moore	North Carolina	37125	2	0
4914	2020-03-19	New Hanover	North Carolina	37129	1	0
4915	2020-03-19	Onslow	North Carolina	37133	1	0
4916	2020-03-19	Sampson	North Carolina	37163	1	0
4917	2020-03-19	Wake	North Carolina	37183	25	0
4918	2020-03-19	Watauga	North Carolina	37189	2	0
4919	2020-03-19	Wayne	North Carolina	37191	1	0
4920	2020-03-19	Wilson	North Carolina	37195	2	0
5750	2020-03-20	Brunswick	North Carolina	37019	4	0
5751	2020-03-20	Cabarrus	North Carolina	37025	2	0
5752	2020-03-20	Carteret	North Carolina	37031	1	0
5753	2020-03-20	Chatham	North Carolina	37037	3	0
5754	2020-03-20	Craven	North Carolina	37049	2	0
5755	2020-03-20	Davidson	North Carolina	37057	1	0
5756	2020-03-20	Durham	North Carolina	37063	33	0
5757	2020-03-20	Forsyth	North Carolina	37067	7	0
5758	2020-03-20	Franklin	North Carolina	37069	4	0
5759	2020-03-20	Gaston	North Carolina	37071	1	0
5760	2020-03-20	Guilford	North Carolina	37081	4	0
5761	2020-03-20	Harnett	North Carolina	37085	6	0
5762	2020-03-20	Hoke	North Carolina	37093	1	0
5763	2020-03-20	Iredell	North Carolina	37097	2	0
5764	2020-03-20	Johnston	North Carolina	37101	2	0
5765	2020-03-20	Lincoln	North Carolina	37109	1	0
5766	2020-03-20	Mecklenburg	North Carolina	37119	28	0
5767	2020-03-20	Moore	North Carolina	37125	2	0
5768	2020-03-20	New Hanover	North Carolina	37129	1	0
5769	2020-03-20	Onslow	North Carolina	37133	1	0
5770	2020-03-20	Orange	North Carolina	37135	3	0
5771	2020-03-20	Pasquotank	North Carolina	37139	1	0
5772	2020-03-20	Pitt	North Carolina	37147	1	0
5773	2020-03-20	Rowan	North Carolina	37159	1	0
5774	2020-03-20	Sampson	North Carolina	37163	1	0
5775	2020-03-20	Stanly	North Carolina	37167	1	0
5776	2020-03-20	Wake	North Carolina	37183	25	0
5777	2020-03-20	Watauga	North Carolina	37189	2	0
5778	2020-03-20	Wayne	North Carolina	37191	1	0
5779	2020-03-20	Wilson	North Carolina	37195	2	0
6745	2020-03-21	Brunswick	North Carolina	37019	4	0
6746	2020-03-21	Buncombe	North Carolina	37021	1	0
6747	2020-03-21	Cabarrus	North Carolina	37025	2	0
6748	2020-03-21	Carteret	North Carolina	37031	1	0
6749	2020-03-21	Catawba	North Carolina	37035	1	0
6750	2020-03-21	Chatham	North Carolina	37037	3	0
6751	2020-03-21	Craven	North Carolina	37049	2	0
6752	2020-03-21	Davidson	North Carolina	37057	1	0
6753	2020-03-21	Durham	North Carolina	37063	33	0
6754	2020-03-21	Forsyth	North Carolina	37067	8	0
6755	2020-03-21	Franklin	North Carolina	37069	4	0
6756	2020-03-21	Gaston	North Carolina	37071	1	0
6757	2020-03-21	Guilford	North Carolina	37081	4	0
6758	2020-03-21	Harnett	North Carolina	37085	6	0
6759	2020-03-21	Hoke	North Carolina	37093	1	0
6760	2020-03-21	Iredell	North Carolina	37097	2	0
6761	2020-03-21	Johnston	North Carolina	37101	2	0
6762	2020-03-21	Lincoln	North Carolina	37109	1	0
6763	2020-03-21	Mecklenburg	North Carolina	37119	41	0
6764	2020-03-21	Moore	North Carolina	37125	2	0
6765	2020-03-21	New Hanover	North Carolina	37129	1	0
6766	2020-03-21	Onslow	North Carolina	37133	1	0
6767	2020-03-21	Orange	North Carolina	37135	3	0
6768	2020-03-21	Pasquotank	North Carolina	37139	1	0
6769	2020-03-21	Pitt	North Carolina	37147	1	0
6770	2020-03-21	Rowan	North Carolina	37159	1	0
6771	2020-03-21	Sampson	North Carolina	37163	1	0
6772	2020-03-21	Stanly	North Carolina	37167	1	0
6773	2020-03-21	Wake	North Carolina	37183	49	0
6774	2020-03-21	Watauga	North Carolina	37189	2	0
6775	2020-03-21	Wayne	North Carolina	37191	1	0
6776	2020-03-21	Wilson	North Carolina	37195	2	0
7841	2020-03-22	Brunswick	North Carolina	37019	5	0
7842	2020-03-22	Buncombe	North Carolina	37021	1	0
7843	2020-03-22	Cabarrus	North Carolina	37025	4	0
7844	2020-03-22	Carteret	North Carolina	37031	2	0
7845	2020-03-22	Catawba	North Carolina	37035	1	0
7846	2020-03-22	Chatham	North Carolina	37037	3	0
7847	2020-03-22	Cherokee	North Carolina	37039	4	0
7848	2020-03-22	Craven	North Carolina	37049	2	0
7849	2020-03-22	Cumberland	North Carolina	37051	2	0
7850	2020-03-22	Davidson	North Carolina	37057	1	0
7851	2020-03-22	Davie	North Carolina	37059	1	0
7852	2020-03-22	Durham	North Carolina	37063	40	0
7853	2020-03-22	Forsyth	North Carolina	37067	12	0
7854	2020-03-22	Franklin	North Carolina	37069	4	0
7855	2020-03-22	Gaston	North Carolina	37071	3	0
7856	2020-03-22	Granville	North Carolina	37077	1	0
7857	2020-03-22	Guilford	North Carolina	37081	11	0
7858	2020-03-22	Harnett	North Carolina	37085	8	0
7859	2020-03-22	Henderson	North Carolina	37089	1	0
7860	2020-03-22	Hoke	North Carolina	37093	1	0
7861	2020-03-22	Iredell	North Carolina	37097	6	0
7862	2020-03-22	Johnston	North Carolina	37101	3	0
7863	2020-03-22	Lee	North Carolina	37105	1	0
7864	2020-03-22	Lincoln	North Carolina	37109	1	0
7865	2020-03-22	Mecklenburg	North Carolina	37119	66	0
7866	2020-03-22	Moore	North Carolina	37125	2	0
7867	2020-03-22	Nash	North Carolina	37127	1	0
7868	2020-03-22	New Hanover	North Carolina	37129	3	0
7869	2020-03-22	Onslow	North Carolina	37133	1	0
7870	2020-03-22	Orange	North Carolina	37135	5	0
7871	2020-03-22	Pasquotank	North Carolina	37139	1	0
7872	2020-03-22	Pitt	North Carolina	37147	3	0
7873	2020-03-22	Robeson	North Carolina	37155	1	0
7874	2020-03-22	Rowan	North Carolina	37159	2	0
7875	2020-03-22	Sampson	North Carolina	37163	1	0
7876	2020-03-22	Scotland	North Carolina	37165	1	0
7877	2020-03-22	Stanly	North Carolina	37167	1	0
7878	2020-03-22	Union	North Carolina	37179	9	0
7879	2020-03-22	Wake	North Carolina	37183	49	0
7880	2020-03-22	Watauga	North Carolina	37189	2	0
7881	2020-03-22	Wayne	North Carolina	37191	1	0
7882	2020-03-22	Wilson	North Carolina	37195	2	0
9041	2020-03-23	Alamance	North Carolina	37001	3	0
9042	2020-03-23	Brunswick	North Carolina	37019	5	0
9043	2020-03-23	Buncombe	North Carolina	37021	1	0
9044	2020-03-23	Cabarrus	North Carolina	37025	6	0
9045	2020-03-23	Carteret	North Carolina	37031	4	0
9046	2020-03-23	Catawba	North Carolina	37035	1	0
9047	2020-03-23	Chatham	North Carolina	37037	3	0
9048	2020-03-23	Cherokee	North Carolina	37039	4	0
9049	2020-03-23	Craven	North Carolina	37049	2	0
9050	2020-03-23	Cumberland	North Carolina	37051	2	0
9051	2020-03-23	Davidson	North Carolina	37057	2	0
9052	2020-03-23	Davie	North Carolina	37059	1	0
9053	2020-03-23	Durham	North Carolina	37063	40	0
9054	2020-03-23	Forsyth	North Carolina	37067	12	0
9055	2020-03-23	Franklin	North Carolina	37069	4	0
9056	2020-03-23	Gaston	North Carolina	37071	3	0
9057	2020-03-23	Granville	North Carolina	37077	1	0
9058	2020-03-23	Guilford	North Carolina	37081	11	0
9059	2020-03-23	Harnett	North Carolina	37085	9	0
9060	2020-03-23	Henderson	North Carolina	37089	1	0
9061	2020-03-23	Hoke	North Carolina	37093	1	0
9062	2020-03-23	Iredell	North Carolina	37097	6	0
9063	2020-03-23	Johnston	North Carolina	37101	3	0
9064	2020-03-23	Lee	North Carolina	37105	1	0
9065	2020-03-23	Lincoln	North Carolina	37109	1	0
9066	2020-03-23	Mecklenburg	North Carolina	37119	80	0
9067	2020-03-23	Moore	North Carolina	37125	2	0
9068	2020-03-23	Nash	North Carolina	37127	1	0
9069	2020-03-23	New Hanover	North Carolina	37129	4	0
9070	2020-03-23	Onslow	North Carolina	37133	1	0
9071	2020-03-23	Orange	North Carolina	37135	6	0
9072	2020-03-23	Pasquotank	North Carolina	37139	1	0
9073	2020-03-23	Pitt	North Carolina	37147	3	0
9074	2020-03-23	Richmond	North Carolina	37153	1	0
9075	2020-03-23	Robeson	North Carolina	37155	1	0
9076	2020-03-23	Rowan	North Carolina	37159	2	0
9077	2020-03-23	Sampson	North Carolina	37163	1	0
9078	2020-03-23	Scotland	North Carolina	37165	1	0
9079	2020-03-23	Stanly	North Carolina	37167	1	0
9080	2020-03-23	Union	North Carolina	37179	12	0
9081	2020-03-23	Vance	North Carolina	37181	1	0
9082	2020-03-23	Wake	North Carolina	37183	52	0
9083	2020-03-23	Watauga	North Carolina	37189	2	0
9084	2020-03-23	Wayne	North Carolina	37191	1	0
9085	2020-03-23	Wilson	North Carolina	37195	3	0
10353	2020-03-24	Alamance	North Carolina	37001	3	0
10354	2020-03-24	Brunswick	North Carolina	37019	8	0
10355	2020-03-24	Buncombe	North Carolina	37021	5	0
10356	2020-03-24	Cabarrus	North Carolina	37025	8	0
10357	2020-03-24	Carteret	North Carolina	37031	4	0
10358	2020-03-24	Catawba	North Carolina	37035	4	0
10359	2020-03-24	Chatham	North Carolina	37037	3	0
10360	2020-03-24	Cherokee	North Carolina	37039	4	0
10361	2020-03-24	Craven	North Carolina	37049	2	0
10362	2020-03-24	Cumberland	North Carolina	37051	2	0
10363	2020-03-24	Davidson	North Carolina	37057	2	0
10364	2020-03-24	Davie	North Carolina	37059	1	0
10365	2020-03-24	Durham	North Carolina	37063	63	0
10366	2020-03-24	Forsyth	North Carolina	37067	12	0
10367	2020-03-24	Franklin	North Carolina	37069	5	0
10368	2020-03-24	Gaston	North Carolina	37071	3	0
10369	2020-03-24	Granville	North Carolina	37077	1	0
10370	2020-03-24	Guilford	North Carolina	37081	16	0
10371	2020-03-24	Harnett	North Carolina	37085	9	0
10372	2020-03-24	Henderson	North Carolina	37089	2	0
10373	2020-03-24	Hoke	North Carolina	37093	2	0
10374	2020-03-24	Iredell	North Carolina	37097	9	0
10375	2020-03-24	Jackson	North Carolina	37099	1	0
10376	2020-03-24	Johnston	North Carolina	37101	4	0
10377	2020-03-24	Lee	North Carolina	37105	1	0
10378	2020-03-24	Lincoln	North Carolina	37109	1	0
10379	2020-03-24	Mecklenburg	North Carolina	37119	104	0
10380	2020-03-24	Montgomery	North Carolina	37123	1	0
10381	2020-03-24	Moore	North Carolina	37125	2	0
10382	2020-03-24	Nash	North Carolina	37127	1	0
10383	2020-03-24	New Hanover	North Carolina	37129	7	0
10384	2020-03-24	Onslow	North Carolina	37133	3	0
10385	2020-03-24	Orange	North Carolina	37135	11	0
10386	2020-03-24	Pasquotank	North Carolina	37139	1	0
10387	2020-03-24	Pitt	North Carolina	37147	5	0
10388	2020-03-24	Randolph	North Carolina	37151	2	0
10389	2020-03-24	Richmond	North Carolina	37153	1	0
10390	2020-03-24	Robeson	North Carolina	37155	1	0
10391	2020-03-24	Rowan	North Carolina	37159	5	0
10392	2020-03-24	Sampson	North Carolina	37163	1	0
10393	2020-03-24	Scotland	North Carolina	37165	1	0
10394	2020-03-24	Stanly	North Carolina	37167	1	0
10395	2020-03-24	Transylvania	North Carolina	37175	1	0
10396	2020-03-24	Union	North Carolina	37179	13	0
10397	2020-03-24	Vance	North Carolina	37181	2	0
10398	2020-03-24	Wake	North Carolina	37183	54	0
10399	2020-03-24	Watauga	North Carolina	37189	2	0
10400	2020-03-24	Wayne	North Carolina	37191	2	0
10401	2020-03-24	Wilson	North Carolina	37195	3	0
11794	2020-03-25	Alamance	North Carolina	37001	3	0
11795	2020-03-25	Bertie	North Carolina	37015	2	0
11796	2020-03-25	Brunswick	North Carolina	37019	10	0
11797	2020-03-25	Buncombe	North Carolina	37021	12	0
11798	2020-03-25	Burke	North Carolina	37023	2	0
11799	2020-03-25	Cabarrus	North Carolina	37025	12	1
11800	2020-03-25	Caldwell	North Carolina	37027	1	0
11801	2020-03-25	Carteret	North Carolina	37031	5	0
11802	2020-03-25	Catawba	North Carolina	37035	4	0
11803	2020-03-25	Chatham	North Carolina	37037	6	0
11804	2020-03-25	Cherokee	North Carolina	37039	4	0
11805	2020-03-25	Cleveland	North Carolina	37045	1	0
11806	2020-03-25	Craven	North Carolina	37049	3	0
11807	2020-03-25	Cumberland	North Carolina	37051	5	0
11808	2020-03-25	Davidson	North Carolina	37057	2	0
11809	2020-03-25	Davie	North Carolina	37059	1	0
11810	2020-03-25	Duplin	North Carolina	37061	1	0
11811	2020-03-25	Durham	North Carolina	37063	74	0
11812	2020-03-25	Forsyth	North Carolina	37067	17	0
11813	2020-03-25	Franklin	North Carolina	37069	5	0
11814	2020-03-25	Gaston	North Carolina	37071	5	0
11815	2020-03-25	Granville	North Carolina	37077	1	0
11816	2020-03-25	Guilford	North Carolina	37081	22	0
11817	2020-03-25	Harnett	North Carolina	37085	10	0
11818	2020-03-25	Henderson	North Carolina	37089	2	0
11819	2020-03-25	Hertford	North Carolina	37091	1	0
11820	2020-03-25	Hoke	North Carolina	37093	2	0
11821	2020-03-25	Iredell	North Carolina	37097	11	0
11822	2020-03-25	Jackson	North Carolina	37099	1	0
11823	2020-03-25	Johnston	North Carolina	37101	8	0
11824	2020-03-25	Lee	North Carolina	37105	1	0
11825	2020-03-25	Lenoir	North Carolina	37107	1	0
11826	2020-03-25	Lincoln	North Carolina	37109	1	0
11827	2020-03-25	McDowell	North Carolina	37111	2	0
11828	2020-03-25	Mecklenburg	North Carolina	37119	170	0
11829	2020-03-25	Montgomery	North Carolina	37123	1	0
11830	2020-03-25	Moore	North Carolina	37125	2	0
11831	2020-03-25	Nash	North Carolina	37127	2	0
11832	2020-03-25	New Hanover	North Carolina	37129	9	0
11833	2020-03-25	Northampton	North Carolina	37131	1	0
11834	2020-03-25	Onslow	North Carolina	37133	3	0
11835	2020-03-25	Orange	North Carolina	37135	13	0
11836	2020-03-25	Pasquotank	North Carolina	37139	1	0
11837	2020-03-25	Pitt	North Carolina	37147	6	0
11838	2020-03-25	Randolph	North Carolina	37151	3	0
11839	2020-03-25	Richmond	North Carolina	37153	1	0
11840	2020-03-25	Robeson	North Carolina	37155	2	0
11841	2020-03-25	Rowan	North Carolina	37159	6	0
11842	2020-03-25	Sampson	North Carolina	37163	1	0
11843	2020-03-25	Scotland	North Carolina	37165	1	0
11844	2020-03-25	Stanly	North Carolina	37167	1	0
11845	2020-03-25	Transylvania	North Carolina	37175	2	0
11846	2020-03-25	Union	North Carolina	37179	16	0
11847	2020-03-25	Vance	North Carolina	37181	2	0
11848	2020-03-25	Wake	North Carolina	37183	73	0
11849	2020-03-25	Watauga	North Carolina	37189	3	0
11850	2020-03-25	Wayne	North Carolina	37191	2	0
11851	2020-03-25	Wilson	North Carolina	37195	5	0
13407	2020-03-26	Alamance	North Carolina	37001	4	0
13408	2020-03-26	Beaufort	North Carolina	37013	2	0
13409	2020-03-26	Bertie	North Carolina	37015	3	0
13410	2020-03-26	Brunswick	North Carolina	37019	11	0
13411	2020-03-26	Buncombe	North Carolina	37021	15	0
13412	2020-03-26	Burke	North Carolina	37023	2	0
13413	2020-03-26	Cabarrus	North Carolina	37025	16	1
13414	2020-03-26	Caldwell	North Carolina	37027	3	0
13415	2020-03-26	Carteret	North Carolina	37031	5	0
13416	2020-03-26	Catawba	North Carolina	37035	4	0
13417	2020-03-26	Chatham	North Carolina	37037	9	0
13418	2020-03-26	Cherokee	North Carolina	37039	4	0
13419	2020-03-26	Cleveland	North Carolina	37045	2	0
13420	2020-03-26	Craven	North Carolina	37049	3	0
13421	2020-03-26	Cumberland	North Carolina	37051	7	0
13422	2020-03-26	Davidson	North Carolina	37057	3	0
13423	2020-03-26	Davie	North Carolina	37059	1	0
13424	2020-03-26	Duplin	North Carolina	37061	1	0
13425	2020-03-26	Durham	North Carolina	37063	75	0
13426	2020-03-26	Forsyth	North Carolina	37067	17	0
13427	2020-03-26	Franklin	North Carolina	37069	5	0
13428	2020-03-26	Gaston	North Carolina	37071	7	0
13429	2020-03-26	Granville	North Carolina	37077	1	0
13430	2020-03-26	Guilford	North Carolina	37081	24	0
13431	2020-03-26	Harnett	North Carolina	37085	11	1
13432	2020-03-26	Henderson	North Carolina	37089	4	0
13433	2020-03-26	Hertford	North Carolina	37091	2	0
13434	2020-03-26	Hoke	North Carolina	37093	2	0
13435	2020-03-26	Iredell	North Carolina	37097	13	0
13436	2020-03-26	Johnston	North Carolina	37101	9	0
13437	2020-03-26	Lee	North Carolina	37105	1	0
13438	2020-03-26	Lenoir	North Carolina	37107	3	0
13439	2020-03-26	Lincoln	North Carolina	37109	1	0
13440	2020-03-26	McDowell	North Carolina	37111	2	0
13441	2020-03-26	Mecklenburg	North Carolina	37119	181	0
13442	2020-03-26	Montgomery	North Carolina	37123	3	0
13443	2020-03-26	Moore	North Carolina	37125	2	0
13444	2020-03-26	Nash	North Carolina	37127	2	0
13445	2020-03-26	New Hanover	North Carolina	37129	11	0
13446	2020-03-26	Northampton	North Carolina	37131	3	0
13447	2020-03-26	Onslow	North Carolina	37133	4	0
13448	2020-03-26	Orange	North Carolina	37135	16	0
13449	2020-03-26	Pasquotank	North Carolina	37139	1	0
13450	2020-03-26	Pitt	North Carolina	37147	8	0
13451	2020-03-26	Randolph	North Carolina	37151	3	0
13452	2020-03-26	Richmond	North Carolina	37153	1	0
13453	2020-03-26	Robeson	North Carolina	37155	2	0
13454	2020-03-26	Rowan	North Carolina	37159	6	0
13455	2020-03-26	Sampson	North Carolina	37163	1	0
13456	2020-03-26	Scotland	North Carolina	37165	1	0
13457	2020-03-26	Stanly	North Carolina	37167	1	0
13458	2020-03-26	Transylvania	North Carolina	37175	2	0
13459	2020-03-26	Union	North Carolina	37179	24	0
13460	2020-03-26	Vance	North Carolina	37181	2	0
13461	2020-03-26	Wake	North Carolina	37183	83	0
13462	2020-03-26	Watauga	North Carolina	37189	3	0
13463	2020-03-26	Wayne	North Carolina	37191	1	0
13464	2020-03-26	Wilson	North Carolina	37195	7	0
15151	2020-03-27	Alamance	North Carolina	37001	5	0
15152	2020-03-27	Beaufort	North Carolina	37013	3	0
15153	2020-03-27	Bertie	North Carolina	37015	3	0
15154	2020-03-27	Brunswick	North Carolina	37019	11	0
15155	2020-03-27	Buncombe	North Carolina	37021	15	0
15156	2020-03-27	Burke	North Carolina	37023	2	0
15157	2020-03-27	Cabarrus	North Carolina	37025	21	1
15158	2020-03-27	Caldwell	North Carolina	37027	3	0
15159	2020-03-27	Carteret	North Carolina	37031	5	0
15160	2020-03-27	Catawba	North Carolina	37035	7	0
15161	2020-03-27	Chatham	North Carolina	37037	11	0
15162	2020-03-27	Cherokee	North Carolina	37039	4	0
15163	2020-03-27	Cleveland	North Carolina	37045	2	0
15164	2020-03-27	Craven	North Carolina	37049	3	0
15165	2020-03-27	Cumberland	North Carolina	37051	8	0
15166	2020-03-27	Davidson	North Carolina	37057	4	0
15167	2020-03-27	Davie	North Carolina	37059	2	0
15168	2020-03-27	Duplin	North Carolina	37061	1	0
15169	2020-03-27	Durham	North Carolina	37063	83	0
15170	2020-03-27	Forsyth	North Carolina	37067	17	0
15171	2020-03-27	Franklin	North Carolina	37069	5	0
15172	2020-03-27	Gaston	North Carolina	37071	9	0
15173	2020-03-27	Granville	North Carolina	37077	3	0
15174	2020-03-27	Greene	North Carolina	37079	3	0
15175	2020-03-27	Guilford	North Carolina	37081	31	0
15176	2020-03-27	Harnett	North Carolina	37085	11	1
15177	2020-03-27	Henderson	North Carolina	37089	6	0
15178	2020-03-27	Hertford	North Carolina	37091	2	0
15179	2020-03-27	Hoke	North Carolina	37093	2	0
15180	2020-03-27	Iredell	North Carolina	37097	15	0
15181	2020-03-27	Johnston	North Carolina	37101	9	1
15182	2020-03-27	Lee	North Carolina	37105	2	0
15183	2020-03-27	Lenoir	North Carolina	37107	3	0
15184	2020-03-27	Lincoln	North Carolina	37109	1	0
15185	2020-03-27	McDowell	North Carolina	37111	3	0
15186	2020-03-27	Mecklenburg	North Carolina	37119	218	0
15187	2020-03-27	Montgomery	North Carolina	37123	3	0
15188	2020-03-27	Moore	North Carolina	37125	2	0
15189	2020-03-27	Nash	North Carolina	37127	2	0
15190	2020-03-27	New Hanover	North Carolina	37129	13	0
15191	2020-03-27	Northampton	North Carolina	37131	3	0
15192	2020-03-27	Onslow	North Carolina	37133	4	0
15193	2020-03-27	Orange	North Carolina	37135	24	0
15194	2020-03-27	Pasquotank	North Carolina	37139	1	0
15195	2020-03-27	Person	North Carolina	37145	1	0
15196	2020-03-27	Pitt	North Carolina	37147	10	0
15197	2020-03-27	Randolph	North Carolina	37151	5	0
15198	2020-03-27	Richmond	North Carolina	37153	1	0
15199	2020-03-27	Robeson	North Carolina	37155	2	0
15200	2020-03-27	Rowan	North Carolina	37159	10	0
15201	2020-03-27	Sampson	North Carolina	37163	1	0
15202	2020-03-27	Scotland	North Carolina	37165	1	0
15203	2020-03-27	Stanly	North Carolina	37167	2	0
15204	2020-03-27	Surry	North Carolina	37171	1	0
