GeoFIPS	GeoArea_Name	Economic_Measure_Name	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
 37001	Alamance, NC	    Mining (except oil and gas)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	    Support activities for mining	28	32	-5	-1	0	3	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	   Utilities	9202	9715	9882	10186	10272	10427	8846	10091	9692	10354	17142	37915	38467	11621	11278	11978	11600	12981	12919
 37001	Alamance, NC	   Construction	182838	178800	186509	208000	198379	208439	217102	197029	172762	172709	169696	187335	196337	199950	204274	208271	224132	230401	284049
 37001	Alamance, NC	    Construction of buildings	32857	40517	38306	33501	28317	30882	34157	34095	29840	23354	27967	37298	40640	39956	40811	38017	39559	41697	59344
 37001	Alamance, NC	    Heavy and civil engineering construction	15408	11753	14565	22584	16992	15658	14772	12968	9527	10249	8179	8098	8331	10145	12260	15806	18725	22852	27411
 37001	Alamance, NC	    Specialty trade contractors	134573	126530	133638	151915	153070	161899	168173	149966	133395	139106	133550	141939	147366	149849	151203	154448	165848	165852	197294
 37001	Alamance, NC	   Manufacturing	634884	612148	605640	609793	606135	598556	583181	560223	452057	465017	477001	512461	497982	514173	533721	555667	561592	584145	605526
 37001	Alamance, NC	    Durable goods manufacturing	(D)	214224	216912	238015	250353	262485	268413	263137	221113	240124	243282	264700	254044	248930	267570	275258	279606	290444	335212
 37001	Alamance, NC	     Wood product manufacturing	14268	14162	19613	16438	12490	15092	15379	14648	10861	17715	17070	16904	19102	21885	23164	25493	25420	26203	27432
 37001	Alamance, NC	     Nonmetallic mineral product manufacturing	10770	10611	9445	10432	11215	11842	12623	12472	8993	7999	8825	5884	5853	9643	10692	11619	11375	10968	11649
 37001	Alamance, NC	     Primary metal manufacturing	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	14236	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	     Fabricated metal product manufacturing	29019	26681	36538	40514	36090	40143	45393	48399	38730	44032	45413	52177	54655	51309	50643	48868	54080	56220	54045
 37001	Alamance, NC	     Machinery manufacturing	26642	25144	28281	36163	37860	39754	41753	41610	37490	39494	42497	46276	49050	55502	61603	66028	68780	67427	66507
 37001	Alamance, NC	     Computer and electronic product manufacturing	17395	(D)	(D)	26324	28204	33637	29023	30247	31317	37196	33781	40460	28383	6945	7117	6540	5542	(D)	(D)
 37001	Alamance, NC	     Electrical equipment, appliance, and component manufacturing	43616	29978	21578	20985	20808	20468	20550	19173	10853	11214	10459	12806	(D)	(D)	(D)	(D)	(D)	12469	63615
 37001	Alamance, NC	     Motor vehicles, bodies and trailers, and parts manufacturing	49010	50711	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	     Other transportation equipment manufacturing	-28	-1	-1	-11	-19	-260	(D)	(D)	(D)	1819	2311	2016	1635	969	681	1685	(D)	(D)	(D)
 37001	Alamance, NC	     Furniture and related product manufacturing	13433	14387	15387	17112	18469	19910	20818	18670	12975	12789	11537	9003	9368	8990	8395	8420	9750	11865	9061
 37001	Alamance, NC	     Miscellaneous manufacturing	24163	24063	24996	28815	34031	29211	27706	21175	19490	18348	19300	19997	15481	20836	24623	22103	22529	24306	22213
 37001	Alamance, NC	    Nondurable goods manufacturing	(D)	397924	388728	371778	355782	336071	314768	297086	230944	224893	233719	247761	243938	265243	266151	280409	281986	293701	270314
 37001	Alamance, NC	     Food manufacturing	6190	6843	7480	7278	6996	6803	6755	6868	7982	8137	7783	8285	8087	8057	8231	9121	8798	11308	4240
 37001	Alamance, NC	     Beverage and tobacco product manufacturing	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	     Textile mills	211264	198836	184115	168678	128062	102023	98066	88475	81157	67913	77592	83896	84973	97734	100727	103944	97341	95946	92263
 37001	Alamance, NC	     Textile product mills	28289	24749	26306	25094	19091	4473	5754	5541	3895	3876	3762	4626	4464	5011	4546	4113	3785	2572	2395
 37001	Alamance, NC	     Apparel manufacturing	51413	50680	43806	42129	72460	96951	69121	57638	36141	34974	31268	32094	30787	36720	34477	33925	32722	32617	31562
 37001	Alamance, NC	     Leather and allied product manufacturing	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	     Paper manufacturing	12169	13641	29151	29012	27055	29134	35968	38781	14465	14729	16777	15824	14839	15510	15132	30288	31661	34798	16156
 37001	Alamance, NC	     Printing and related support activities	23376	19434	20607	19108	21224	17966	16773	15654	14540	14690	14080	14828	16161	15769	15170	16239	16848	17616	15316
 37001	Alamance, NC	     Petroleum and coal products manufacturing	29	4	8	11	12	23	320	565	147	31	-7	-4	4	11	8	0	0	11	13
 37001	Alamance, NC	     Chemical manufacturing	8550	7859	7696	7471	6489	1925	3641	2897	3639	5817	5507	6412	5876	6469	7698	7639	11787	12441	12795
 37001	Alamance, NC	     Plastics and rubber products manufacturing	44330	43249	43282	44501	46858	46543	44964	47679	41564	44713	43609	47054	45124	48851	50914	47252	49677	60781	69530
 37001	Alamance, NC	   Wholesale trade	118156	116533	121305	133797	135070	154026	157888	152582	136528	142386	151545	150036	152722	166529	183760	199602	219555	203212	220524
 37001	Alamance, NC	   Retail trade	200512	202872	199352	187048	208333	223678	234679	228812	221812	226070	239122	247631	251908	257638	261809	292392	307619	320952	341104
 37001	Alamance, NC	    Motor vehicle and parts dealers	47036	49306	49003	46112	50900	51494	56511	44176	40498	43863	46918	48396	50679	54495	56569	60610	61235	61725	68251
 37001	Alamance, NC	    Furniture and home furnishings stores	10157	9740	10471	9982	10376	10283	9338	9170	8270	7272	8129	8781	8207	8648	8724	9481	9584	9922	9386
 37001	Alamance, NC	    Electronics and appliance stores	6066	7216	6602	5011	6453	8142	8733	8851	8005	7143	7223	7114	7746	8015	8244	8737	8765	9283	9684
 37001	Alamance, NC	    Building material and garden equipment and supplies dealers	16107	16104	15990	16922	22677	23194	19659	19315	16922	16563	17344	20079	20403	21210	21054	22408	22925	24470	26682
 37001	Alamance, NC	    Food and beverage stores	24565	24137	22822	21517	22626	19355	22285	24034	23349	23509	24531	25073	26088	27475	28788	30094	31539	33458	40342
 37001	Alamance, NC	    Health and personal care stores	15625	15114	10746	11070	14131	14972	16639	17654	19315	20356	21320	21491	21496	21111	21188	21425	21198	21846	22093
 37001	Alamance, NC	    Gasoline stations	17402	16070	16616	12776	13468	16604	18786	19619	20956	24032	19822	18388	17389	20326	20163	25336	26531	27738	26442
 37001	Alamance, NC	    Clothing and clothing accessories stores	13903	14067	14620	13718	13012	14242	15604	15416	14459	15278	21184	22448	22508	21384	21676	21681	22478	23455	24352
 37001	Alamance, NC	    Sporting goods, hobby, musical instrument, and book stores	4194	5625	5735	3955	4439	4759	3512	3538	4302	4060	4504	6573	8781	10534	11422	11686	11781	11168	10488
 37001	Alamance, NC	    General merchandise stores	22885	25335	27562	26562	29703	39897	43714	47720	48593	47084	49400	49559	48526	42916	42630	60665	69440	74286	78617
 37001	Alamance, NC	    Miscellaneous store retailers	19186	16731	14852	14354	14483	14666	13507	12247	11050	10819	11777	12879	13792	14348	14284	13250	14421	15181	15716
 37001	Alamance, NC	    Nonstore retailers	3386	3427	4333	5069	6065	6070	6391	7072	6093	6091	6970	6850	6293	7176	7067	7019	7722	8420	9051
 37001	Alamance, NC	   Transportation and warehousing	59078	50639	47726	45472	57952	54261	53084	50515	51318	55423	64434	74990	74801	75591	76030	75946	68227	75818	79746
 37001	Alamance, NC	    Air transportation	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1059	(D)	(D)	(D)	(D)
 37001	Alamance, NC	    Rail transportation	(D)	(D)	285	372	165	281	(D)	304	244	113	11	-95	-231	-546	-422	-207	-12	-8	-9
 37001	Alamance, NC	    Water transportation	9	-56	-11	49	131	97	132	5	17	-60	-174	-219	23	-81	-69	-154	-4	5	5
 37001	Alamance, NC	    Truck transportation	44812	36721	30806	27283	29893	34785	35412	31611	30546	33291	38843	42454	40235	35814	34730	33168	23259	24029	24482
 37001	Alamance, NC	    Transit and ground passenger transportation	1381	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	    Pipeline transportation	14	-15	-8	-1	2	2	2	2	0	2	15	30	33	39	69	62	7	4	3
 37001	Alamance, NC	    Scenic and sightseeing transportation	100	88	74	29	9	1	4	3	5	5	4	1	6	2	11	8	0	1	1
 37001	Alamance, NC	    Support activities for transportation	5021	5173	5358	5231	5671	6729	6623	7966	9516	10241	12796	15998	18249	20327	14211	13773	10707	10228	10933
 37001	Alamance, NC	    Couriers and messengers	(D)	65	(D)	(D)	(D)	(D)	(D)	(D)	523	273	257	(D)	1023	2095	(D)	4097	4061	2812	1766
 37001	Alamance, NC	    Warehousing and storage	6878	6512	7123	3892	10456	11953	9529	9189	8774	8768	8530	10530	10672	14021	20782	21645	28553	37141	41012
 37001	Alamance, NC	   Information	19114	20123	18814	19188	21411	20757	43975	31039	27053	23864	23769	26257	28772	27888	28611	30464	28531	28657	28714
 37001	Alamance, NC	    Publishing industries (except Internet)	6320	6287	6353	6986	6878	6529	7478	7178	6597	6253	5297	5770	6134	6218	5423	4922	4334	5038	4696
 37001	Alamance, NC	    Motion picture and sound recording industries	(D)	(D)	(D)	954	1000	1688	1856	1761	2021	1893	1694	1899	2814	(D)	1881	(D)	(D)	1361	1414
 37001	Alamance, NC	    Broadcasting (except Internet)	3869	3766	3067	1851	(D)	(D)	3356	3597	3364	2800	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	    Internet publishing and broadcasting 8/	8	19	4	2	(D)	(D)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)	(NA)
 37001	Alamance, NC	    Telecommunications	7280	8475	7576	7621	8133	7592	26276	12080	9852	7877	9345	8843	9003	9838	11642	14203	14058	12655	12442
 37001	Alamance, NC	    Data processing, hosting, and related services	619	(D)	(D)	1773	(D)	2336	(D)	(D)	(D)	(D)	(D)	8312	8244	(D)	8504	8086	(D)	(D)	(D)
 37001	Alamance, NC	    Other information services 8/	(D)	15	4	1	4	-2	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	14	0	(D)	(D)
 37001	Alamance, NC	   Finance and insurance	114378	108026	111343	130112	119211	130962	112002	132763	113791	126953	105711	122448	109501	118385	118623	130149	140089	138087	149525
 37001	Alamance, NC	    Monetary Authorities-central bank	0	0	0	0	0	0	0	0	0	(D)	0	0	0	0	0	0	0	0	0
 37001	Alamance, NC	    Credit intermediation and related activities	43980	43409	41168	38394	42649	48851	46929	58540	59752	72349	41181	54084	39877	39447	39562	41580	41028	37263	42211
 37001	Alamance, NC	    Securities, commodity contracts, and other financial investments and related activities	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	5606	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	    Insurance carriers and related activities	70487	64604	69526	83974	69835	75787	58127	67461	47817	46121	52109	57416	57921	66661	67236	74884	82263	86906	93659
 37001	Alamance, NC	    Funds, trusts, and other financial vehicles	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	   Real estate and rental and leasing	27695	31653	34592	38372	43953	48256	42842	49000	31032	31771	38928	46776	52387	58959	66458	74775	71459	80919	84791
 37001	Alamance, NC	    Real estate	18841	20361	21450	(D)	(D)	(D)	21668	32044	15693	12181	15033	32391	44860	49826	53058	58701	55406	60829	64158
 37001	Alamance, NC	    Rental and leasing services	7860	10466	12322	11768	15975	(D)	21154	16945	13342	15808	19168	12025	6967	8804	12995	15647	15480	19646	20203
 37001	Alamance, NC	    Lessors of nonfinancial intangible assets (except copyrighted works)	994	826	820	(D)	(D)	(D)	20	11	1997	3782	4727	2360	560	329	405	427	573	444	430
 37001	Alamance, NC	   Professional, scientific, and technical services	99232	100327	91679	87655	83428	90936	98677	106967	108698	95183	102044	105413	104628	104739	114215	121724	134005	141696	159724
 37001	Alamance, NC	   Management of companies and enterprises	178175	183248	172080	203739	203166	210110	223993	261190	171718	178700	187604	184746	42069	38530	28833	36963	56077	54012	44297
 37001	Alamance, NC	   Administrative and support and waste management and remediation services	96326	103684	91396	95846	97012	111845	119177	120272	104934	117074	133717	136258	142561	152032	153250	143567	147869	149636	154395
 37001	Alamance, NC	    Administrative and support services	92027	99092	85295	89724	91746	106211	112948	111897	97447	110953	127219	129750	133401	140656	140768	130872	135173	134589	138683
 37001	Alamance, NC	    Waste management and remediation services	4299	4592	6101	6122	5266	5634	6229	8375	7487	6121	6498	6508	9160	11376	12482	12695	12696	15047	15712
 37001	Alamance, NC	   Educational services	42078	50386	55900	62952	67966	76454	87633	96223	105267	110427	113289	122142	111199	133357	139423	149688	153286	158846	169166
 37001	Alamance, NC	   Health care and social assistance	246639	264005	272765	291188	317626	348637	368682	394251	437184	465803	494464	530385	688470	693780	659171	712398	710182	765688	787053
 37001	Alamance, NC	    Ambulatory health care services	140114	150756	156552	162309	181383	201026	209974	222856	259226	282106	312912	335659	484902	480424	459784	512298	512914	559091	576634
 37001	Alamance, NC	    Hospitals	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	    Nursing and residential care facilities	42064	47398	46859	52394	52766	54398	57464	62071	63983	65285	62915	63886	64987	65428	64175	65023	66673	69064	68285
 37001	Alamance, NC	    Social assistance	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37001	Alamance, NC	   Arts, entertainment, and recreation	25088	10696	11639	11177	12904	13207	13757	12660	14980	16644	16412	16235	17185	18438	20961	22480	21729	25214	26394
 37001	Alamance, NC	    Performing arts, spectator sports, and related industries	(D)	3203	4204	3643	4674	4404	4577	3600	(D)	(D)	(D)	(D)	(D)	4937	8727	9069	7630	10239	10516
 37001	Alamance, NC	    Museums, historical sites, and similar institutions	-2	1	9	5	-1	7	1	0	(D)	(D)	(D)	(D)	(D)	459	864	1615	2197	2345	2204
 37001	Alamance, NC	    Amusement, gambling, and recreation industries	(D)	7492	7426	7529	8231	8796	9179	9060	8711	11020	11157	11236	11764	13042	11370	11796	11902	12630	13674
 37001	Alamance, NC	   Accommodation and food services	70977	76274	78835	81082	85470	93779	100607	102495	101440	107747	116373	126017	128214	130183	137038	147298	152395	163741	167618
 37001	Alamance, NC	    Accommodation	9811	9109	9075	8078	6726	7565	7793	7649	6448	6584	7076	6856	9392	8850	8698	9695	10256	10304	11186
 37001	Alamance, NC	    Food services and drinking places	61166	67165	69760	73004	78744	86214	92814	94846	94992	101163	109297	119161	118822	121333	128340	137603	142139	153437	156432
 37001	Alamance, NC	   Other services (except government and government enterprises)	104050	113523	112109	117113	122558	130584	129998	122286	124819	132197	134248	144226	144439	154385	161241	164754	161477	168999	184916
 37001	Alamance, NC	    Repair and maintenance	29802	31841	30040	32727	35536	38660	37039	31750	32628	35477	35445	36094	36011	39496	42948	44576	41487	47213	51736
 37001	Alamance, NC	    Personal and laundry services	42567	45830	42869	43378	46053	48821	47063	42146	41762	47518	49924	56606	56505	59726	61635	62205	61156	58696	66301
 37001	Alamance, NC	    Religious, grantmaking, civic, professional, and similar organizations	29557	33772	36926	38585	38547	40524	43104	45421	47731	46820	46340	49045	49330	52207	53638	55122	56143	59885	63481
 37001	Alamance, NC	    Private households	2124	2080	2274	2423	2422	2579	2792	2969	2698	2382	2539	2481	2593	2956	3020	2851	2691	3205	3398
 37001	Alamance, NC	  Government and government enterprises	248490	263682	271836	286285	302391	319491	338812	355628	361293	363406	353255	353499	358636	360820	380027	387869	405955	427943	443406
 37001	Alamance, NC	   Federal civilian	15339	15460	15846	17072	17098	17402	18183	18120	17742	18221	17826	17296	16776	17321	18547	18535	19650	21130	22036
 37001	Alamance, NC	   Military	4822	6634	9861	9919	11135	10924	11526	13122	14596	14155	13874	12779	12104	11264	10631	11234	11209	12131	12867
 37001	Alamance, NC	   State and local	228329	241588	246129	259294	274158	291165	309103	324386	328955	331030	321555	323424	329756	332235	350849	358100	375096	394682	408503
 37001	Alamance, NC	    State government	35260	36303	34823	36643	40283	42623	44623	46115	48064	46790	47307	47123	47623	44976	48040	49618	51835	54062	56634
 37001	Alamance, NC	    Local government	193069	205285	211306	222651	233875	248542	264480	278271	280891	284240	274248	276301	282133	287259	302809	308482	323261	340620	351869
 37003	Alexander, NC	Personal income (thousands of dollars)	845693	830492	841447	910357	945709	987424	1027068	1014545	1002350	1028703	1046610	1092204	1104870	1168623	1240564	1253397	1329299	1371872	1410711
 37003	Alexander, NC	Population (persons) 2/	34187	34665	34998	35343	35786	36243	36609	36840	37053	37233	37026	36922	37012	36987	36960	37133	37143	37331	37497
 37003	Alexander, NC	Per capita personal income (dollars)	24737	23958	24043	25758	26427	27245	28055	27539	27052	27629	28267	29581	29852	31596	33565	33754	35789	36749	37622
 37003	Alexander, NC	Earnings by place of work	394776	381965	404837	442309	460969	473341	479569	445802	417610	434906	418020	446351	464033	499145	515801	501845	539151	541540	553947
 37003	Alexander, NC	 Less: Contributions for government social insurance 3/	44740	44250	47362	50313	51931	54307	56214	55518	50676	52003	49185	49874	57725	60138	60658	62121	65363	66822	70214
 37003	Alexander, NC	  Employee and self-employed contributions for government social insurance	23223	23622	24665	26677	27377	28764	30007	29484	28154	29529	25512	25701	33211	34482	34867	36681	39122	41363	43001
 37003	Alexander, NC	  Employer contributions for government social insurance	21517	20628	22697	23636	24554	25543	26207	26034	22522	22474	23673	24173	24514	25656	25791	25440	26241	25459	27213
 37003	Alexander, NC	 Plus: Adjustment for residence 4/	247499	239926	225128	241754	248945	256462	249709	236034	221753	225365	241653	250080	251585	254288	279136	286443	305046	330822	340575
 37003	Alexander, NC	 Equals: Net earnings by place of residence	597535	577641	582603	633750	657983	675496	673064	626318	588687	608268	610488	646557	657893	693295	734279	726167	778834	805540	824308
 37003	Alexander, NC	 Plus: Dividends, interest, and rent 5/	119552	111195	112437	118929	115301	126052	151613	157479	142730	141089	148047	154822	150170	166951	174497	187225	194346	198635	202551
 37003	Alexander, NC	 Plus: Personal current transfer receipts	128606	141656	146407	157678	172425	185876	202391	230748	270933	279346	288075	290825	296807	308377	331788	340005	356119	367697	383852
 37003	Alexander, NC	 Wages and salaries	268031	265807	272810	293845	294384	306238	315887	309739	274610	276805	280590	284941	291862	304329	309759	321698	341307	348402	362986
 37003	Alexander, NC	 Supplements to wages and salaries	59173	60181	65024	71919	75891	78659	82426	82184	76125	75974	74168	78674	78764	83439	84520	84083	89389	92216	95769
 37003	Alexander, NC	  Employer contributions for employee pension and insurance funds 6/	37656	39553	42327	48283	51337	53116	56219	56150	53603	53500	50495	54501	54250	57783	58729	58643	63148	66757	68556
 37003	Alexander, NC	 Proprietors' income 7/	67572	55977	67003	76545	90694	88444	81256	53879	66875	82127	63262	82736	93407	111377	121522	96064	108455	100922	95192
 37003	Alexander, NC	  Farm proprietors' income	27041	11847	18559	23709	39196	34384	26461	2174	17876	21253	1769	11205	26099	45111	59769	35782	43819	27995	18584
 37003	Alexander, NC	  Nonfarm proprietors' income	40531	44130	48444	52836	51498	54060	54795	51705	48999	60874	61493	71531	67308	66266	61753	60282	64636	72927	76608
 37003	Alexander, NC	 Farm earnings	29093	14444	20658	25707	40924	36099	28358	4223	19830	22942	4030	14206	29228	48235	62782	39327	47194	30811	22067
 37003	Alexander, NC	 Nonfarm earnings	365683	367521	384179	416602	420045	437242	451211	441579	397780	411964	413990	432145	434805	450910	453019	462518	491957	510729	531880
 37003	Alexander, NC	  Private nonfarm earnings	315470	313754	326895	346817	343472	354657	362506	347409	301722	314144	317223	335319	334954	352043	351753	358416	381970	393583	412126
 37003	Alexander, NC	   Forestry, fishing, and related activities	(D)	(D)	(D)	1360	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37003	Alexander, NC	    Forestry and logging	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37003	Alexander, NC	    Fishing, hunting and trapping	117	113	123	69	34	5	56	23	1	-11	29	26	27	37	57	83	95	102	103
 37003	Alexander, NC	    Support activities for agriculture and forestry	(D)	992	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37003	Alexander, NC	   Mining, quarrying, and oil and gas extraction	(D)	(D)	(D)	337	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37003	Alexander, NC	    Oil and gas extraction	4	4	10	5	8	0	1	3	3	50	269	132	110	18	6	20	104	36	36
 37003	Alexander, NC	    Mining (except oil and gas)	1	2	2	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37003	Alexander, NC	    Support activities for mining	(D)	(D)	(D)	(D)	9	0	0	0	1	4	1	15	7	10	9	16	1	(D)	(D)
 37003	Alexander, NC	   Utilities	2033	1825	1802	1997	1666	2104	1942	2782	2451	2540	2443	1993	1761	2012	2218	2417	2663	(D)	(D)
 37003	Alexander, NC	   Construction	23466	23428	24995	25601	25908	(D)	(D)	23673	23875	26313	26883	29302	26922	26326	25299	25051	26654	26795	30388
 37003	Alexander, NC	    Construction of buildings	6144	6353	6082	4802	5350	(D)	(D)	6601	6550	4811	6966	9251	9031	8123	7466	6684	6322	6909	7198
 37003	Alexander, NC	    Heavy and civil engineering construction	1126	1003	1000	1571	2177	2108	1987	1536	738	661	400	454	187	585	856	1072	1156	1013	1124
 37003	Alexander, NC	    Specialty trade contractors	16196	16072	17913	19228	18381	18520	17357	15536	16587	20841	19517	19597	17704	17618	16977	17295	19176	18873	22066
 37003	Alexander, NC	   Manufacturing	180185	175003	176846	183873	177822	182257	185343	173540	134051	134786	136634	141725	145683	158818	162231	167260	174103	180212	183875
