,Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ATNHPIUS12001A	Alachua County, FL	12001	43.96	42.28	44.03	46.32	53.19	57.08	61.4	67.54	68.51	60.42	65.92	69.7	70.08	70.46	72.56	73.45	74.25	76.4	77.5	80.45	84.03	86.7	90.32	92.98	95.72	100	108.28	114.92	121.68	138.83	163.18	188.29	193.32	182.4	166.26	152.24	140.38	129.87	131.53	137.04	146.07	155.07	167.14	180.71	189.96
ATNHPIUS37001A	Alamance County, NC	37001	28.74	29.24	30.43	35.39	40.1	0.0	0.0	0.0	46.28	47.53	53.61	56.67	60.46	68.22	69.34	71.0	72.75	74.0	75.13	77.89	82.38	86.06	89.29	93.14	96.04	100	103.89	105.61	106.79	106.76	109.01	111.06	112.08	112.55	111.91	107.33	103.9	101.88	102.88	102.09	105.36	107.78	112.75	119.96	125.63
ATNHPIUS06001A	Alameda County, CA	6001	13.6	15.35	18.79	21.48	25.01	30.13	33.14	33.42	34.4	35.99	38.64	41.5	44.9	52.03	64.9	68.31	66.67	66.19	64.64	63.47	62.77	63.09	66.5	73.41	80.37	100	114.01	120.66	127.29	142.47	175.84	191.42	185.54	156.93	136.02	134.59	127.7	128.01	146.12	169.69	184.51	205.23	222.85	244.51	248.18
ATNHPIUS08003A	Alamosa County, CO	8003																			62.8	67.15	76.37	81.33	80.18	90.14	95.44	100	105.09	110.33	113.65	118.65	129.04	131.18	139.29	137.96	138.34	133.45	138.2	131.27	135.25	140.26	142.28	139.3	147.82	159.82	168.66
ATNHPIUS56001A	Albany County, WY	56001	29.81	31.3	37.14	43.04	47.49	51.38	52.75	55.21	64.94	54.67	55.5	59.8	55.45	52.67	54.28	57.35	59.94	63.42	67.89	74.86	82.99	86.26	90.88	93.42	94.76	100	103.2	109.32	117.66	129.93	142.47	152.41	156.48	157.03	157.58	155.75	155.79	154.19	154.92	157.61	161.03	166.2	169.13	178.37	186.55
ATNHPIUS36001A	Albany County, NY	36001	34.68	37.68	29.85	34.69	36.73	37.61	42.97	44.79	47.92	52.67	58.93	70.05	81.65	93.9	98.77	99.98	99.78	101.26	100.01	98.17	95.64	96.02	94.49	96.28	96.88	100	104.47	110.81	118.98	135.23	154.91	167.88	172.06	172.86	169.08	165.93	163.41	160.92	160.8	160.56	161.48	165.51	171.26	175.76	179.39
ATNHPIUS51003A	Albemarle County, VA	51003		31.46	38.61	39.76	42.8	44.52	50.41	44.93	51.59	55.37	57.0	58.84	61.12	68.1	74.09	76.79	79.03	80.3	81.58	81.5	84.13	85.66	87.14	89.04	92.6	100	108.28	115.05	123.25	136.57	159.54	178.31	182.31	177.49	166.49	159.04	153.68	150.09	150.67	154.01	158.41	163.94	168.88	176.85	182.92
ATNHPIUS26001A	Alcona County, MI	26001																	60.68	62.49	64.24	64.75	70.62	74.59	76.54	83.98	88.42	100	106.23	110.42	113.0	122.44	127.65	130.28	119.6	120.67	111.16	103.39	96.33	91.63	95.44	91.44	98.75	94.95	101.2	111.99	114.64
ATNHPIUS28003A	Alcorn County, MS	28003												66.82	62.85	70.79	77.64	80.09	80.28	81.94	85.48	85.52	82.95	86.2	90.11	93.31	96.97	100	104.12	107.68	107.65	111.71	110.77	118.11	122.81	124.64	123.39	120.93	120.92	123.09	124.07	125.23	133.41	128.5	130.24	140.01	139.86
ATNHPIUS37003A	Alexander County, NC	37003																		73.86	77.96	71.81	79.6	80.26	89.91	91.1	95.55	100	104.78	106.86	108.06	108.47	114.13	120.88	124.79	126.36	124.36	120.63	115.66	111.06	109.66	112.15	115.94	116.24	121.37	127.06	135.24
ATNHPIUS51510A	Alexandria city, VA	51510	21.87	22.38	24.89	28.52	33.61	38.22	37.37	39.85	43.42	46.62	49.03	51.73	57.14	68.96	79.42	81.29	80.67	81.64	81.64	80.91	79.31	81.45	82.29	85.42	89.22	100	114.0	128.24	140.29	163.72	201.15	217.46	212.72	204.44	202.48	204.69	206.34	209.59	216.71	231.08	237.23	245.9	250.76	259.48	272.35
ATNHPIUS26003A	Alger County, MI	26003																		64.01	65.46	75.53	81.39	82.35	89.8	91.67	98.42	100	105.76	108.82	109.71	114.26	122.51	130.79	132.43	130.78	129.83	127.8	124.37	121.91	120.66	127.63	128.11	126.52	128.3	138.53	138.6
ATNHPIUS19005A	Allamakee County, IA	19005																								85.24	90.54	100	100.03	102.85	104.74	110.36	120.42	130.46	130.62	134.28	131.92	131.78	131.42	132.61	138.27	137.69	141.49	148.04	149.01	156.36	161.02
ATNHPIUS26005A	Allegan County, MI	26005			30.45	35.43	37.26	42.78	39.43	40.35	38.97	45.71	45.5	47.17	49.37	52.33	56.13	58.67	60.28	61.31	62.8	67.09	73.64	77.88	83.43	86.85	91.67	100	103.54	106.72	108.13	113.6	117.47	120.01	115.9	113.68	106.79	99.49	96.02	95.33	98.45	103.8	109.93	117.37	127.42	135.93	145.47
ATNHPIUS24001A	Allegany County, MD	24001											58.2	58.82	62.9	65.1	70.55	71.76	74.77	76.59	80.96	83.9	91.26	89.83	95.11	97.39	98.84	100	104.48	107.47	109.78	116.56	129.04	146.52	158.32	157.4	150.99	146.09	142.92	139.42	135.22	130.88	131.61	131.48	138.77	135.28	138.45
ATNHPIUS36003A	Allegany County, NY	36003													68.86	71.67	91.31	85.05	87.98	91.36	93.97	92.26	101.79	94.4	89.34	91.32	100.36	100	107.69	105.64	109.97	114.09	115.07	115.98	117.68	121.41	120.5	117.64	123.47	119.23	121.64	121.19	121.23	117.92	123.67	144.05	121.03
ATNHPIUS37005A	Alleghany County, NC	37005																							78.49	89.1	93.42	100	108.57	108.59	109.63	120.08	125.45	141.96	155.14	151.04	150.48	148.78	133.85	133.73	126.21	127.24	133.9	132.6	143.18	138.44	140.4
ATNHPIUS51005A	Alleghany County, VA	51005																			87.99	91.02	95.17	93.03	101.03	101.03	105.28	100	106.49	110.73	112.2	118.86	129.39	139.21	146.39	147.02	146.33	141.16	139.78	142.66	137.68	141.53	135.71	142.79	146.35	144.98	151.89
ATNHPIUS42003A	Allegheny County, PA	42003	33.02	37.22	41.0	47.5	51.38	52.79	52.81	52.87	55.85	57.27	58.17	59.83	62.46	66.5	71.06	74.54	78.15	81.54	85.23	85.95	86.73	88.57	90.11	93.51	95.71	100	105.87	109.87	112.52	117.73	122.19	124.93	127.21	128.75	129.03	129.41	130.13	130.95	134.08	139.68	144.57	150.75	157.14	166.98	174.7
ATNHPIUS21003A	Allen County, KY	21003																		63.21	68.81	70.66	85.63	89.73	92.75	94.75	98.22	100	106.24	107.06	108.88	109.28	119.4	123.21	126.56	129.35	126.69	121.69	123.59	120.93	124.37	127.59	128.12	134.49	135.33	148.22	149.84
ATNHPIUS20001A	Allen County, KS	20001																		64.29	65.8	72.81	80.73	84.96	87.77	89.62	94.11	100	105.37	105.02	109.14	109.39	117.65	118.04	126.04	131.16	129.29	128.32	128.61	122.63	124.47	122.61	127.9	131.43	117.83	124.03	133.87
ATNHPIUS22003A	Allen Parish, LA	22003																								86.28	98.77	100	103.54	108.27	107.94	113.19	114.84	128.94	136.65	140.24	139.1	143.27	142.52	147.01	146.06	146.08	153.03	154.92	149.01	163.52	167.58
ATNHPIUS39003A	Allen County, OH	39003	41.85	38.44	41.6	49.84	56.26	58.35	61.3	51.74	58.37	58.28	59.07	60.66	63.61	66.76	68.91	70.96	72.76	73.98	75.53	78.33	81.22	85.31	87.87	91.46	94.67	100	104.17	105.94	106.98	111.57	116.33	117.25	116.93	116.47	113.94	109.75	107.04	107.48	105.77	106.2	109.84	112.64	116.19	120.63	125.75
ATNHPIUS18003A	Allen County, IN	18003	32.64	34.91	40.35	48.8	57.05	60.91	62.83	58.8	56.99	59.35	63.65	68.71	72.37	75.23	76.63	77.04	79.18	80.29	81.66	82.73	86.09	88.78	91.65	94.7	97.28	100	104.24	106.61	107.19	108.6	111.64	112.25	112.36	110.7	108.74	107.01	106.06	105.37	106.5	107.83	111.92	117.41	124.1	134.12	143.8
ATNHPIUS26007A	Alpena County, MI	26007												48.51	46.01	45.63	54.07	51.38	59.35	62.58	63.88	69.12	72.51	76.68	82.51	85.96	90.75	100	104.9	107.23	111.1	114.5	116.62	117.74	117.62	112.77	104.69	98.8	92.28	89.33	89.56	91.89	93.06	95.33	100.66	103.03	107.92
ATNHPIUS06005A	Amador County, CA	6005									50.54	51.59	53.79	55.65	59.68	62.06	70.1	82.04	88.15	90.39	88.34	87.4	86.59	85.4	87.42	89.93	92.16	100	111.18	123.87	136.03	160.35	194.17	209.92	200.43	175.61	144.25	123.17	107.69	102.88	112.96	126.12	137.74	152.2	162.7	173.66	180.86
ATNHPIUS51007A	Amelia County, VA	51007																			0.0	0.0	81.9	86.71	89.68	88.25	96.07	100	105.89	107.41	111.55	122.21	141.08	156.55	165.31	167.1	156.96	142.87	133.68	131.79	130.87	130.5	139.49	138.01	144.33	146.24	155.21
ATNHPIUS51009A	Amherst County, VA	51009																			81.91	83.44	93.68	93.22	91.92	94.69	95.09	100	105.73	108.79	111.15	116.75	127.36	142.12	150.71	153.51	150.16	145.8	142.35	140.84	141.72	137.14	140.8	142.56	148.52	150.24	157.28
ATNHPIUS45007A	Anderson County, SC	45007			39.16	42.22	42.98	46.35	53.63	52.33	52.47	54.56	55.38	59.77	59.27	64.14	65.98	67.82	69.08	71.15	72.57	75.55	79.49	82.37	85.58	90.32	95.24	100	105.21	107.74	109.58	110.5	114.99	119.56	125.08	128.7	124.88	119.22	114.6	113.68	113.26	115.0	118.77	122.72	128.34	136.1	144.94
ATNHPIUS20003A	Anderson County, KS	20003																								96.17	93.36	100	103.53	106.67	106.0	114.36	119.7	116.38	120.88	121.69	118.04	119.03	110.1	110.13	116.13	120.17	110.63	121.56	115.89	113.08	128.57
ATNHPIUS48001A	Anderson County, TX	48001												83.52	76.12	76.27	70.87	71.25	72.7	75.71	78.22	81.97	85.56	88.17	89.11	91.1	96.65	100	102.78	104.86	110.24	112.25	114.94	128.74	137.33	138.13	140.73	138.8	135.81	139.72	141.59	139.27	147.36	152.69	153.77	155.43	177.71
ATNHPIUS47001A	Anderson County, TN	47001				45.01	51.5	45.29	55.63	58.29	57.31	60.95	64.37	62.8	66.71	69.23	77.42	77.65	79.13	81.78	85.17	86.25	88.56	91.67	91.61	96.66	98.02	100	104.69	107.05	109.69	113.98	122.74	129.95	136.31	139.49	135.79	134.52	130.49	124.88	127.93	130.25	129.3	131.79	136.8	146.04	154.85
ATNHPIUS21005A	Anderson County, KY	21005																63.53	64.77	65.57	67.5	72.69	77.92	79.02	85.24	88.47	93.38	100	104.61	106.88	109.47	115.46	120.12	120.85	124.31	123.66	120.42	118.25	116.94	115.87	114.87	115.35	118.34	119.48	124.9	134.99	138.61
ATNHPIUS29003A	Andrew County, MO	29003												55.33	54.35	59.82	58.83	62.18	65.21	65.34	68.64	72.9	77.53	83.95	85.56	90.95	95.18	100	104.99	110.62	111.29	119.25	123.0	128.72	129.9	128.19	129.7	123.43	121.83	122.77	124.27	123.86	128.45	137.18	140.9	150.1	143.44
ATNHPIUS48003A	Andrews County, TX	48003									110.49	110.71	103.43	98.83	97.37	85.37	78.12	83.63	88.93	82.16	84.06	86.59	92.36	91.99	89.99	93.58	97.47	100	96.48	98.1	104.79	106.1	118.13	143.42	166.56	184.12	181.63	186.66	187.56	192.19	209.43	220.86	236.75	243.58	243.6	248.01	272.13
ATNHPIUS23001A	Androscoggin County, ME	23001		29.53	38.91	35.74	45.65	53.65	0.0	49.97	50.38	60.35	60.99	67.44	71.96	87.72	96.26	96.46	98.2	94.79	91.76	89.11	89.14	90.77	89.7	93.58	95.21	100	108.61	116.55	123.34	137.07	155.34	163.4	163.36	161.0	148.6	143.68	138.82	135.04	136.22	136.44	136.64	142.71	149.32	158.98	167.73
ATNHPIUS48005A	Angelina County, TX	48005				60.99	68.83	70.37	71.98	86.44	77.28	78.38	79.16	79.37	77.97	74.15	74.34	74.77	75.67	77.12	78.03	81.17	85.07	87.72	90.55	94.07	96.89	100	102.78	103.73	105.69	108.58	112.23	121.09	124.75	129.08	130.24	131.57	134.24	134.55	135.92	137.01	140.96	146.25	144.8	151.84	157.7
ATNHPIUS24003A	Anne Arundel County, MD	24003	26.09	27.72	30.56	34.19	38.12	41.4	45.35	45.93	46.26	49.57	52.1	56.07	61.44	70.41	76.64	80.31	82.21	83.28	83.84	84.11	85.45	86.79	87.59	89.88	92.75	100	107.96	119.39	129.88	153.19	186.97	209.01	210.41	200.74	181.68	172.4	166.3	163.27	166.89	171.72	174.83	178.99	184.54	190.88	195.33
ATNHPIUS27003A	Anoka County, MN	27003	26.89	29.39	32.13	37.87	43.5	47.76	48.24	49.89	52.72	53.87	52.85	56.35	58.49	60.35	62.28	63.04	64.22	65.27	67.25	69.11	73.06	75.67	79.45	83.17	89.05	100	110.07	119.59	125.65	137.45	148.07	153.04	149.14	136.78	122.79	113.58	104.41	101.84	109.14	117.93	122.59	130.21	139.86	150.4	156.59
ATNHPIUS31003A	Antelope County, NE	31003																									103.89	100	106.9	108.49	107.62	105.62	118.78	121.81	115.73	124.71	113.7	126.2	129.5	129.06	134.62	145.0	146.4	170.44	157.5	0.0	175.3
ATNHPIUS26009A	Antrim County, MI	26009												37.99	40.51	43.1	49.52	51.38	54.03	54.64	55.84	59.73	65.41	68.96	75.92	80.1	87.43	100	104.56	107.56	111.37	117.27	125.6	126.93	123.3	119.4	111.71	101.6	96.34	92.28	97.81	100.57	105.89	108.89	117.17	125.67	134.15
ATNHPIUS04001A	Apache County, AZ	4001																		69.81	68.57	69.73	74.28	77.37	86.04	90.18	92.8	100	103.76	103.4	112.82	119.1	132.87	161.24	177.62	170.49	162.92	132.27	121.34	111.49	119.1	127.59	133.49	130.74	151.19	145.63	160.68
ATNHPIUS13001A	Appling County, GA	13001																								86.52	92.46	100	100.54	102.61	102.62	112.16	121.55	120.51	134.29	130.29	127.5	119.8	109.44	110.78	111.64	112.03	113.13	134.61	117.07	116.48	126.78
ATNHPIUS48007A	Aransas County, TX	48007																		65.21	65.64	68.05	72.99	78.24	83.58	87.36	93.68	100	111.02	114.37	120.16	132.4	142.16	158.48	168.54	175.24	173.22	167.62	165.86	168.98	173.47	182.13	193.65	206.47	206.1	229.61	243.13
ATNHPIUS08005A	Arapahoe County, CO	8005	21.21	22.91	26.29	32.75	38.27	41.6	46.46	50.88	52.58	52.82	52.93	52.8	51.5	49.72	49.65	50.92	52.3	55.37	59.28	64.17	69.14	71.82	75.79	79.52	86.29	100	108.96	113.25	113.94	116.44	120.67	121.39	117.79	113.09	113.17	109.89	106.09	108.71	118.31	132.65	147.56	165.04	181.44	197.41	205.08
ATNHPIUS48009A	Archer County, TX	48009																			74.31	86.55	90.96	87.56	91.35	92.61	94.34	100	101.93	103.24	107.69	114.88	120.87	125.49	130.45	127.31	129.32	129.06	128.67	134.02	131.87	138.32	141.04	145.26	157.15	159.75	180.27
ATNHPIUS08007A	Archuleta County, CO	8007																		54.68	59.37	72.38	77.27	85.38	86.64	89.71	94.62	100	102.12	103.46	104.9	109.08	121.07	141.06	152.14	150.07	138.07	122.78	116.66	112.85	113.99	120.15	125.79	135.92	148.03	161.18	174.45
ATNHPIUS26011A	Arenac County, MI	26011												53.16	49.28	54.85	52.74	60.76	61.53	63.92	64.37	67.38	73.2	78.02	83.67	86.33	92.14	100	104.48	108.43	108.9	114.21	115.33	116.42	114.2	113.24	106.52	96.26	92.06	87.5	89.97	90.09	85.26	93.99	98.87	100.87	106.49
ATNHPIUS05001A	Arkansas County, AR	5001				61.24	63.92	59.91	0.0	0.0	82.7	0.0	0.0	71.48	71.24	61.3	72.71	74.33	73.53	76.22	76.75	81.92	76.89	83.16	88.77	95.19	102.82	100	106.23	111.84	113.53	120.75	128.0	129.8	132.85	139.99	137.59	134.48	134.13	135.96	138.35	146.48	144.13	146.37	148.19	139.38	160.78
ATNHPIUS51013A	Arlington County, VA	51013	19.97	21.26	23.49	26.66	30.28	35.25	35.85	36.68	40.48	42.37	45.26	48.61	53.78	66.22	76.73	77.91	76.81	77.55	77.7	78.4	77.68	78.26	78.78	82.47	87.97	100	114.0	128.62	137.75	160.27	198.67	216.0	211.73	204.8	201.42	203.13	206.16	209.77	219.82	233.7	238.54	245.37	251.05	263.18	276.42
ATNHPIUS42005A	Armstrong County, PA	42005												54.96	59.85	58.75	61.73	68.31	65.85	70.26	75.07	78.35	77.53	82.79	88.62	92.13	92.04	100	99.41	105.51	107.65	110.95	114.81	115.65	119.07	122.67	122.44	120.82	119.37	119.91	119.18	122.17	125.07	130.01	125.82	131.25	136.99
ATNHPIUS23003A	Aroostook County, ME	23003												77.06	75.06	78.68	81.5	87.23	83.42	85.87	86.98	88.04	86.55	89.22	96.67	95.96	94.86	100	104.0	108.3	108.31	120.67	135.99	143.14	151.97	156.27	152.53	151.87	151.83	146.04	143.42	144.18	147.44	147.58	152.92	154.81	165.93
ATNHPIUS22005A	Ascension Parish, LA	22005					63.05	64.65	63.91	62.49	69.77	64.52	63.58	67.73	61.82	57.84	60.67	60.8	62.27	64.38	69.05	74.2	80.06	84.51	89.61	93.37	96.64	100	103.86	106.61	109.61	112.67	119.18	133.36	141.54	142.02	140.48	138.54	135.77	136.7	138.91	142.97	148.29	152.16	158.1	162.51	165.58
ATNHPIUS37009A	Ashe County, NC	37009																					71.6	75.86	80.37	85.61	90.67	100	106.5	111.61	114.5	123.22	136.11	145.91	157.34	163.92	159.32	146.88	141.37	137.76	136.23	134.77	136.32	138.68	137.89	146.02	153.59
ATNHPIUS39005A	Ashland County, OH	39005	31.12	34.66	33.83	40.27	47.74	40.39	0.0	0.0	42.92	49.83	49.55	50.82	52.31	54.96	57.34	61.64	63.81	65.46	67.52	72.58	78.36	81.08	88.63	92.39	95.38	100	104.14	107.37	109.69	111.22	116.15	116.0	113.05	111.21	108.08	104.49	101.87	96.77	97.68	99.68	104.4	108.07	110.34	119.11	124.39
ATNHPIUS55003A	Ashland County, WI	55003												55.01	58.63	54.31	56.92	0.0	62.82	62.13	64.48	71.16	72.24	79.92	83.37	88.9	93.24	100	112.76	117.28	122.57	124.54	134.05	140.6	140.51	138.96	142.24	139.65	130.75	134.18	132.01	134.88	134.26	133.52	139.52	142.74	146.09
ATNHPIUS05003A	Ashley County, AR	5003												66.49	66.68	68.9	69.24	69.61	71.91	80.47	76.62	77.81	83.53	88.48	94.5	96.58	97.79	100	103.62	106.28	105.5	104.6	110.48	109.32	108.09	108.92	112.61	111.59	110.18	111.96	114.07	113.03	117.33	118.81	117.51	128.59	126.89
ATNHPIUS39007A	Ashtabula County, OH	39007	31.84	33.26	36.08	43.49	44.67	47.66	45.32	35.35	42.72	46.83	46.75	47.92	47.47	48.5	52.72	54.86	59.0	63.37	65.56	71.4	75.65	81.9	87.91	92.17	95.72	100	105.13	107.55	108.65	111.46	114.27	113.24	110.9	107.09	107.14	102.0	97.0	96.3	94.36	96.24	99.84	99.81	101.73	108.54	114.99
ATNHPIUS53003A	Asotin County, WA	53003			38.71	41.68	46.09	49.27	41.58	0.0	48.54	45.94	57.41	56.0	59.71	53.79	57.23	58.61	66.0	70.99	78.75	86.01	94.55	97.5	97.58	101.73	100.31	100	103.47	105.72	108.52	117.37	133.8	151.16	169.51	167.64	168.83	163.97	156.66	157.43	158.09	163.13	166.9	171.85	177.12	192.58	199.97
ATNHPIUS22007A	Assumption Parish, LA	22007																			64.75	72.88	83.08	83.19	87.41	96.4	95.56	100	107.89	113.45	118.0	127.52	132.58	135.48	154.17	154.72	154.84	157.76	159.56	159.71	163.79	169.39	174.59	171.56	183.75	183.59	178.73
ATNHPIUS48013A	Atascosa County, TX	48013												80.38	79.14	78.25	68.97	76.42	77.51	76.74	83.26	85.47	88.73	93.98	92.16	93.55	99.87	100	107.2	108.63	115.96	117.99	125.19	139.83	142.99	146.31	145.09	144.65	148.75	159.39	165.11	172.34	176.8	179.62	186.62	193.7	214.74
ATNHPIUS20005A	Atchison County, KS	20005			39.02	48.0	53.35	52.33	60.32	0.0	52.43	57.36	53.29	57.74	59.77	51.95	57.91	60.72	65.35	65.57	72.66	75.62	84.0	84.75	86.43	89.31	94.47	100	104.9	109.3	112.68	118.32	128.7	135.58	137.1	135.05	136.31	134.17	136.07	131.49	130.29	135.34	134.69	136.58	136.55	143.75	155.08
ATNHPIUS39009A	Athens County, OH	39009					44.92	49.61	0.0	0.0	54.96	51.77	51.38	52.2	52.74	56.67	61.31	63.77	66.65	68.34	70.36	74.88	82.88	85.48	89.91	93.08	95.02	100	103.1	104.16	107.14	111.31	119.15	121.34	123.93	124.88	124.59	123.57	122.29	121.44	123.06	124.74	130.16	130.33	139.31	137.25	137.32
